Table 1
[Table],[Column],[DataType],[IsHidden],
LocalDateTable_621e4afb-ec73-40d6-8933-3c04f0a5791a,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_621e4afb-ec73-40d6-8933-3c04f0a5791a,Год,Integer,true,
LocalDateTable_621e4afb-ec73-40d6-8933-3c04f0a5791a,День,Integer,true,
LocalDateTable_621e4afb-ec73-40d6-8933-3c04f0a5791a,Квартал,Text,true,
LocalDateTable_621e4afb-ec73-40d6-8933-3c04f0a5791a,Месяц,Text,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,Date,Date,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,№Квартала,Integer,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,№Месяца,Integer,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,Год,Integer,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,День,Integer,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,Квартал,Text,true,
LocalDateTable_63758a6a-2fe9-4678-88bf-f5d45e0036ef,Месяц,Text,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,Date,Date,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,№Квартала,Integer,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,№Месяца,Integer,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,Год,Integer,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,День,Integer,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,Квартал,Text,true,
LocalDateTable_642038ef-7cf4-48e5-8441-2a82f4604890,Месяц,Text,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,Date,Date,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,№Квартала,Integer,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,№Месяца,Integer,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,Год,Integer,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,День,Integer,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,Квартал,Text,true,
LocalDateTable_6ac3d935-11df-4d62-9afd-8cfc5446c01e,Месяц,Text,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,Date,Date,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,№Квартала,Integer,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,№Месяца,Integer,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,Год,Integer,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,День,Integer,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,Квартал,Text,true,
LocalDateTable_7a25d85b-259c-4f66-b9f3-07ae21f21866,Месяц,Text,true,
LocalDateTable_7bbf0e7a-a146-4aa9-8c07-04b3eee7067d,Date,Date,true,
LocalDateTable_7bbf0e7a-a146-4aa9-8c07-04b3eee7067d,№Квартала,Integer,true,
LocalDateTable_7bbf0e7a-a146-4aa9-8c07-04b3eee7067d,№Месяца,Integer,true,
LocalDateTable_7bbf0e7a-a146-4aa9-8c07-04b3eee7067d,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,true,
LocalDateTable_7bbf0e7a-a146-4aa9-8c07-04b3eee7067d,Год,Integer,true,
